Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,eligibility,,text,Subject number,,,,,,,,,,,,,
elcr_version_text,eligibility,,descriptive,eCRF version X.0 - Protocol version X.0,,,,,,,,,,,,,
elcr_ic,eligibility,INFORMED CONSENT,yesno,Has informed consent been obtained?,,DO NOT PROCEED if informed consent has not been obtained!,,,,,,y,RH,,,,
elcr_ic_date,eligibility,,text,Date informed consent signed,,,date_dmy,,,,[elcr_ic] = '1',y,,,,,
elcr_iemet,eligibility,SUBJECT ELIGIBILITY,yesno,Have all inclusion criteria been met and are none of the exclusion criteria met?,,DO NOT ENROLL subject if all eligibility criteria have not been met!,,,,,,y,,,,,
elcr_inclusion,eligibility,,checkbox,Please indicate which eligibility criteria were NOT MET:,"1, I1 Volwassen, Nederlandstalig of Nederlands begrijpend, minstens 18 jaar|2, I2 Diabetes mellitus type 1 of 2 volgens ADA/EASD, geen zwangerschapsdiabetes|3, I3 Risicovoet categorie 3 met recent genezen plantair ulcus, partiele voetamputatie (tenen inbegrepen hallux) of resectie van metatarsaalkoppen (eerste inbegrepen), 18 maanden tot 2 weken voor inclusie|4, I4 Stabiele vaatstatus naar klinisch oordeel van de behandelende artsen|5, I5 Zelfstandig en zonder hulpmiddelen blootsvoets kunnen stappen|6, I6 In bezit van beschermend schoeisel (volledig maatwerk, maatzolen in semi-orthopedisch schoeisel, of maatzolen in confectieschoeisel met extra diepte) of bereid over te schakelen|7, E1 Amputatie proximaal van de metatarsofalangeale gewrichten|8, E2 Actief voetulcus of Charcot-deformiteit|9, E3 Vaatstatus PEDIS graad 3, kritische ischemie: enkelsystoledruk onder 50 mmHg, teensystoledruk onder 30 mmHg, of TcpO2 onder 30 mmHg|10, E4 Nierfunctievervangende therapie|11, E5 Immunosuppressieve therapie|12, E6 Ernstige aandoening die de overleving binnen 18 maanden beperkt, beoordeeld door de behandelende arts|13, E7 Niet in staat toestemming te geven of de studie-instructies te volgen|14, E8 Hulpmiddelen die het aanbrengen van druksensoren beperken, bijvoorbeeld een enkel-voetorthese|15, E9 Weigert het voorgeschreven beschermend schoeisel te dragen",Criteria uit PARADISE_BRONNEN.md par. 3. Let op: eCRF 01 noemt er zeven en mist E3 en E5 plus de inclusie-eis I4 — openstaand punt 2.,,,,,[elcr_iemet] = '0',,LV,,,,
elcr_scrfailure,eligibility,SCREEN  FAILURE,yesno,Did the subject fail screening for any reason other than not meeting eligibility criteria?,,,,,,,[elcr_iemet] = '1',y,,,,,
elcr_scrfailreason,eligibility,,radio,Main reason for screen failure,"1, Physician decision|2, Subject decision (withdrawal)|3, Death|4, Lost contact with subject|5, Technical concerns|6, Other",,,,,,[elcr_scrfailure] = '1',,,,,,
elcr_scrfailother,eligibility,,text,"If reason for screen failure is ""Other"", please specify:",,,,,,,[elcr_scrfailreason] = '6',,,,,,
demo_version_txt,demographics,,descriptive,eCRF version X.0 - Protocol version X.0,,,,,,,,,,,,,
demo_age,demographics,,text,Participant's age,,,number,,,,,y,,,,,
demo_colldate,demographics,,text,Date demographics data collected,,,date_dmy,,,,,,,,,,
demo_sex,demographics,,radio,Participant's sex,"1, Female|2, Male|3, Undifferentiated|4, Unknown",Behouden: geslacht staat in de Core Descriptor Set.,,,,,,,,,,,
visit_version_txt,visit,,descriptive,eCRF version X.0 - Protocol version X.0,,,,,,,,,,,,,
vis_date,visit,VISIT XXX,text,Visit date,,,date_dmy,,,,,,,,,,
vis_noreason,visit,,radio,"If visit was not done, please provide reason","1, Subject is lost to follow up|2, Subject withdrew consent|3, Subject died|4, Other",,,,,,,y,,,,,
vis_nootherreason,visit,,text,"If ""Other"" reason, please explain",,,,,,,[vis_noreason] = '4',y,,,,,
vis_ae_title,visit,,descriptive,"<div style=""width:101.5%; background-color:#CDCDCD; padding:2px; position:relative; top:-1px; left:-5px; right:100px""> <p>Adverse Events</p></div>",,,,,,,,,,,,,
vis_advev,visit,,yesno,"Did new adverse events occur since previous visit, or have there been changes in previously reported conditions?",,,,,,,,y,,,,,
ae_compl,visit,,descriptive,"Please complete Adverse Events page
via het event AE SAE",,,,,,,[vis_advev] = '1',,,,,,
vis_advev_compl,visit,,dropdown,Was Adverse Events page completed?,"1, Yes|2, No|3, Not applicable (non-reportable event)",,,,,,[vis_advev] = '1',,,,,,
vis_concom_title,visit,,descriptive,"<div style=""width:101.5%; background-color:#CDCDCD; padding:2px; position:relative; top:-1px; left:-5px; right:100px""> <p>Concomitant medication</p></div>",,,,,,,,,,,,,
vis_concom,visit,,yesno,Are there any changes in concomitant therapy since previous visit?,,,,,,,,y,,,,,
