Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,e01_screening,Identificatie,text,Deelnemerscode,,"Drie letters centrum, koppelteken, drie cijfers. Bijvoorbeeld SJB-001.",,,,,,y,,,,,Pseudoniem. De sleutel naar de persoon blijft buiten REDCap (eCRF 00).
e01_skelet,e01_screening,eCRF 01 Screening voor toestemming,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 01. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e01_datum,e01_screening,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e01_door,e01_screening,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e02_skelet,e02_toestemming,eCRF 02 Toestemming en kostenformulier,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 02. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e02_datum,e02_toestemming,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e02_door,e02_toestemming,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
e06_skelet,e06_geschiktheid,eCRF 06 Bevestiging geschiktheid baseline,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: eCRF 06. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
e06_datum,e06_geschiktheid,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
e06_door,e06_geschiktheid,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
rand_skelet,randomisatie,Randomisatie en groepstoewijzing,descriptive,<b>Skelet — de inhoudelijke velden volgen nog.</b><br>Bron: geen eCRF-formulier. Arm: beide.,,,,,,,,,,,,,@HIDDEN-SURVEY
rand_datum,randomisatie,,text,Datum ingevuld op het bronformulier,,"dd-mm-jjjj, zoals op het papieren werkblad",date_dmy,,,,,,,,,,
rand_door,randomisatie,,text,Ingevoerd door (initialen),,Initialen van het studieteamlid dat overzet,,,,,,,,,,,
