event_name;arm_num;unique_event_name;custom_event_label
Screening;1;screening_arm_1;
Visite 0;1;visite_0_arm_1;
Visite 1;1;visite_1_arm_1;
Visite 2;1;visite_2_arm_1;
Visite 3;1;visite_3_arm_1;
Visite 4;1;visite_4_arm_1;
Visite 5;1;visite_5_arm_1;
Visite 6;1;visite_6_arm_1;
Visite 7;1;visite_7_arm_1;
Visite 8;1;visite_8_arm_1;
Dagboek;1;dagboek_arm_1;
Ulcus;1;ulcus_arm_1;
AE SAE;1;ae_sae_arm_1;
Deviatie;1;deviatie_arm_1;
Einde;1;einde_arm_1;
Screening;2;screening_arm_2;
Visite 0;2;visite_0_arm_2;
Visite 1;2;visite_1_arm_2;
Visite 2;2;visite_2_arm_2;
Visite 3;2;visite_3_arm_2;
Visite 4;2;visite_4_arm_2;
Visite 5;2;visite_5_arm_2;
Visite 6;2;visite_6_arm_2;
Visite 7;2;visite_7_arm_2;
Visite 8;2;visite_8_arm_2;
Dagboek;2;dagboek_arm_2;
Ulcus;2;ulcus_arm_2;
AE SAE;2;ae_sae_arm_2;
Deviatie;2;deviatie_arm_2;
Einde;2;einde_arm_2;
